"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1288.120.128","0","0","0","0","0","1","0","20200608","20200608"
"1288.120.130","0","0","0","0","0","1","1","20200608","20200608"
"1288.120.132","1","0","0","0","0","1","0","20200608","20200608"
"1288.120.134","1","0","0","0","0","1","1","20200608","20200608"
"1288.120.2","0","0","0","0","0","0","1","20200608","20200608"
"1288.120.4","1","0","0","0","0","0","0","20200608","20200608"
"1288.120.6","1","0","0","0","0","0","1","20200608","20200608"
"1287.126.104","0","1","0","1","1","0","0","20200609","20200612"
"1287.126.112","0","0","1","1","1","0","0","20200609","20200612"
"1287.126.120","0","1","1","1","1","0","0","20200609","20200612"
"1287.126.16","0","0","1","0","0","0","0","20200609","20200612"
"1287.126.24","0","1","1","0","0","0","0","20200609","20200612"
"1287.126.32","0","0","0","1","0","0","0","20200609","20200612"
"1287.126.40","0","1","0","1","0","0","0","20200609","20200612"
"1287.126.48","0","0","1","1","0","0","0","20200609","20200612"
"1287.126.56","0","1","1","1","0","0","0","20200609","20200612"
"1287.126.64","0","0","0","0","1","0","0","20200609","20200612"
"1287.126.72","0","1","0","0","1","0","0","20200609","20200612"
"1287.126.8","0","1","0","0","0","0","0","20200609","20200612"
"1287.126.80","0","0","1","0","1","0","0","20200609","20200612"
"1287.126.88","0","1","1","0","1","0","0","20200609","20200612"
"1287.126.96","0","0","0","1","1","0","0","20200609","20200612"
"1379.108.128","0","0","0","0","0","1","0","20200613","20200614"
"1379.108.130","0","0","0","0","0","1","1","20200613","20200614"
"1379.108.2","0","0","0","0","0","0","1","20200613","20200614"
"1380.107.100","1","0","0","1","1","0","0","20200615","20200619"
"1380.107.104","0","1","0","1","1","0","0","20200615","20200619"
"1380.107.108","1","1","0","1","1","0","0","20200615","20200619"
"1380.107.112","0","0","1","1","1","0","0","20200615","20200619"
"1380.107.116","1","0","1","1","1","0","0","20200615","20200619"
"1380.107.12","1","1","0","0","0","0","0","20200615","20200619"
"1380.107.120","0","1","1","1","1","0","0","20200615","20200619"
"1380.107.124","1","1","1","1","1","0","0","20200615","20200619"
"1380.107.16","0","0","1","0","0","0","0","20200615","20200619"
"1380.107.20","1","0","1","0","0","0","0","20200615","20200619"
"1380.107.24","0","1","1","0","0","0","0","20200615","20200619"
"1380.107.28","1","1","1","0","0","0","0","20200615","20200619"
"1380.107.32","0","0","0","1","0","0","0","20200615","20200619"
"1380.107.36","1","0","0","1","0","0","0","20200615","20200619"
"1380.107.4","1","0","0","0","0","0","0","20200615","20200619"
